id,n_docs,n_articles,orphan_docs_total,orphan_docs_name_matched,orphan_docs_truly_missing,orphan_articles,doc_mismatch_articles,unbacked_answer_mentions
25,7,6,39/2018/NĐ-CP;04/2017/QH14;52/2023/TT-BTC;04/2014/TTLT-BKHĐT-BTC;09/2005/TT-BTC,,39/2018/NĐ-CP;04/2017/QH14;52/2023/TT-BTC;04/2014/TTLT-BKHĐT-BTC;09/2005/TT-BTC,80/2021/NĐ-CP|Điều 25;39/2018/NĐ-CP|Điều 24;04/2017/QH14|Điều 15;52/2023/TT-BTC|Điều 7;04/2014/TTLT-BKHĐT-BTC|Điều 14,,
26,1,1,,,,23/2025/TT-BKHCN|Điều 7,,179/2025/NĐ-CP
27,1,1,108/2025/QH15,108/2025/QH15,,108/2025/QH15|Điều 10,,
28,4,4,06/2022/TT-BKHĐT,06/2022/TT-BKHĐT,,06/2022/TT-BKHĐT|Điều 16,,
29,3,4,04/2017/QH14;80/2021/NĐ-CP,04/2017/QH14;80/2021/NĐ-CP,,04/2017/QH14|Điều 17;07/2020/TT-BKHCN|Điều 6;80/2021/NĐ-CP|Điều 21,,
30,8,5,108/2025/QH15;59/2020/QH14;86/2024/TT-BTC;902/VBHN-BKHĐT;79/1998/TT-BTC;80/2004/TT-BTC;88/2004/TT-BTC,59/2020/QH14;902/VBHN-BKHĐT,108/2025/QH15;86/2024/TT-BTC;79/1998/TT-BTC;80/2004/TT-BTC;88/2004/TT-BTC,108/2025/QH15|Điều 11;59/2020/QH14|Điều 29;86/2024/TT-BTC|Điều 5;902/VBHN-BKHĐT|Điều 8,,
31,2,2,,,,,,
32,6,6,14/VBHN-BTC;15/VBHN-BTC;80/2021/TT-BTC,14/VBHN-BTC;15/VBHN-BTC,80/2021/TT-BTC,14/VBHN-BTC|Điều 33;15/VBHN-BTC|Điều 33;80/2021/TT-BTC|Điều 25,,
33,4,7,108/2025/QH15;56/2024/QH15;68/2026/NĐ-CP,108/2025/QH15;68/2026/NĐ-CP,56/2024/QH15,108/2025/QH15|Điều 13;56/2024/QH15|Điều 6;68/2026/NĐ-CP|Điều 11;117/2025/NĐ-CP|Điều 7;108/2025/QH15|Điều 40;68/2026/NĐ-CP|Điều 13,,
34,3,3,12/VBHN-BTC,,12/VBHN-BTC,12/VBHN-BTC|Điều 16,,320/2025/NĐ-CP
35,5,6,33/VBHN-BTC;29/VBHN-VPQH;140/2016/NĐ-CP,,33/VBHN-BTC;29/VBHN-VPQH;140/2016/NĐ-CP,33/VBHN-BTC|Điều 3;29/VBHN-VPQH|Điều 94;140/2016/NĐ-CP|Điều 10,,123/2020/NĐ-CP
36,1,1,21/2004/QH11,21/2004/QH11,,21/2004/QH11|Điều 87,,
37,1,1,,,,,,
38,9,9,270b-NQ/HĐNN8;158/2003/NĐ-CP;164/2003/NĐ-CP;108/2025/QH15;126/2020/NĐ-CP;45-TC/TCT;15/VBHN-BTC,,270b-NQ/HĐNN8;158/2003/NĐ-CP;164/2003/NĐ-CP;108/2025/QH15;126/2020/NĐ-CP;45-TC/TCT;15/VBHN-BTC,158/2003/NĐ-CP|Điều 17;164/2003/NĐ-CP|Điều 32;108/2025/QH15|Điều 25;126/2020/NĐ-CP|Điều 16;45-TC/TCT|Điều 17;15/VBHN-BTC|Điều 25,,
39,1,1,,,,06/2022/TT-BKHĐT|Điều 3,,80/2021/NĐ-CP
40,5,5,09/2003/QH11;78/2006/QH11;57-L/CTN;85/2007/NĐ-CP;29/VBHN-VPQH,09/2003/QH11;57-L/CTN;29/VBHN-VPQH,78/2006/QH11;85/2007/NĐ-CP,09/2003/QH11|Điều 27;78/2006/QH11|Điều 118;57-L/CTN|Điều 29;85/2007/NĐ-CP|Điều 45;29/VBHN-VPQH|Điều 149,,
41,7,8,78/2006/QH11;108/2025/QH15;215/2013/TT-BTC;100/2004/NĐ-CP;204/2015/TT-BTC;69/VBHN-BTC,108/2025/QH15,78/2006/QH11;215/2013/TT-BTC;100/2004/NĐ-CP;204/2015/TT-BTC;69/VBHN-BTC,78/2006/QH11|Điều 100;108/2025/QH15|Điều 49;126/2020/NĐ-CP|Điều 37;126/2020/NĐ-CP|Điều 36;215/2013/TT-BTC|Điều 15;100/2004/NĐ-CP|Điều 21;204/2015/TT-BTC|Điều 25;69/VBHN-BTC|Điều 15,,
42,5,6,07/2022/QH15;50/2005/QH11;11/VBHN-VPQH;06/2001/NĐ-CP;13/2001/NĐ-CP,07/2022/QH15;50/2005/QH11;11/VBHN-VPQH,06/2001/NĐ-CP;13/2001/NĐ-CP,07/2022/QH15|Điều 96;50/2005/QH11|Điều 112;50/2005/QH11|Điều 181;11/VBHN-VPQH|Điều 112;06/2001/NĐ-CP|Điều 1;13/2001/NĐ-CP|Điều 8,,
43,5,7,108/2025/QH15;132/2018/TT-BTC;129/2004/NĐ-CP;29/VBHN-VPQH,132/2018/TT-BTC,108/2025/QH15;129/2004/NĐ-CP;29/VBHN-VPQH,108/2025/QH15|Điều 40;10/2021/TT-BTC|Điều 3;132/2018/TT-BTC|Điều 8;129/2004/NĐ-CP|Điều 45;29/VBHN-VPQH|Điều 150;29/VBHN-VPQH|Điều 104,,
44,2,3,07/2022/QH15;50/2005/QH11,07/2022/QH15;50/2005/QH11,,07/2022/QH15|Điều 96;50/2005/QH11|Điều 114;50/2005/QH11|Điều 118,,
45,3,5,50/2005/QH11;07/2022/QH15;44-L/CTN,50/2005/QH11;07/2022/QH15,44-L/CTN,50/2005/QH11|Điều 129;07/2022/QH15|Điều 50;50/2005/QH11|Điều 125;44-L/CTN|Điều 805;07/2022/QH15|Điều 96,,
46,1,2,50/2005/QH11,50/2005/QH11,,50/2005/QH11|Điều 140;50/2005/QH11|Điều 144,,
47,1,1,50/2005/QH11,50/2005/QH11,,50/2005/QH11|Điều 131,,
48,2,3,50/2005/QH11;168/2025/NĐ-CP,50/2005/QH11,168/2025/NĐ-CP,50/2005/QH11|Điều 144;50/2005/QH11|Điều 140;168/2025/NĐ-CP|Điều 15,,
49,3,5,50/2005/QH11;44-L/CTN;06/2001/NĐ-CP,50/2005/QH11;44-L/CTN,06/2001/NĐ-CP,50/2005/QH11|Điều 134;44-L/CTN|Điều 804;50/2005/QH11|Điều 126;44-L/CTN|Điều 805;06/2001/NĐ-CP|Điều 1,,
50,2,3,50/2005/QH11;42/2019/QH14,50/2005/QH11;42/2019/QH14,,50/2005/QH11|Điều 148;42/2019/QH14|Điều 2;50/2005/QH11|Điều 139,,
51,6,6,07/2022/QH15;50/2005/QH11;13/2001/NĐ-CP;56/2020/TT-BTC;64/2025/TT-BTC;207/2016/TT-BTC,07/2022/QH15;50/2005/QH11,13/2001/NĐ-CP;56/2020/TT-BTC;64/2025/TT-BTC;207/2016/TT-BTC,07/2022/QH15|Điều 165;50/2005/QH11|Điều 170;13/2001/NĐ-CP|Điều 12;56/2020/TT-BTC|Điều 1;64/2025/TT-BTC|Điều 1;207/2016/TT-BTC|Điều 7,,
52,4,7,50/2005/QH11;07/2022/QH15;42/2019/QH14;17/2023/NĐ-CP,50/2005/QH11;07/2022/QH15;42/2019/QH14;17/2023/NĐ-CP,,50/2005/QH11|Điều 217;50/2005/QH11|Điều 216;07/2022/QH15|Điều 2;07/2022/QH15|Điều 214;42/2019/QH14|Điều 2;17/2023/NĐ-CP|Điều 90;17/2023/NĐ-CP|Điều 88,,
53,8,10,07/2022/QH15;50/2005/QH11;17/2023/NĐ-CP;100/2006/NĐ-CP;131/2013/NĐ-CP;76-CP;33/2005/QH11;3198/VBHN-BVHTTDL,07/2022/QH15;50/2005/QH11;17/2023/NĐ-CP;100/2006/NĐ-CP;3198/VBHN-BVHTTDL,131/2013/NĐ-CP;76-CP;33/2005/QH11,07/2022/QH15|Điều 26;50/2005/QH11|Điều 33;07/2022/QH15|Điều 33;17/2023/NĐ-CP|Điều 35;17/2023/NĐ-CP|Điều 56;100/2006/NĐ-CP|Điều 35;131/2013/NĐ-CP|Điều 29;76-CP|Điều 21;33/2005/QH11|Điều 746;3198/VBHN-BVHTTDL|Điều 36,,
54,1,2,50/2005/QH11,50/2005/QH11,,50/2005/QH11|Điều 106;50/2005/QH11|Điều 108,,
55,4,6,50/2005/QH11;42/2019/QH14,50/2005/QH11;42/2019/QH14,,50/2005/QH11|Điều 198;11/VBHN-VPQH|Điều 198;42/2019/QH14|Điều 2;50/2005/QH11|Điều 214,,
56,1,2,50/2005/QH11,50/2005/QH11,,50/2005/QH11|Điều 76;50/2005/QH11|Điều 78,,
57,1,2,50/2005/QH11,50/2005/QH11,,50/2005/QH11|Điều 78;50/2005/QH11|Điều 76,,
58,1,0,,,,,,75/1998/QĐ-
59,4,5,50/2005/QH11;07/2022/QH15;76-CP;17/2023/NĐ-CP,50/2005/QH11;07/2022/QH15;17/2023/NĐ-CP,76-CP,50/2005/QH11|Điều 50;07/2022/QH15|Điều 50;76-CP|Điều 24;17/2023/NĐ-CP|Điều 38;50/2005/QH11|Điều 49,,
60,2,3,50/2005/QH11;07/2022/QH15,50/2005/QH11;07/2022/QH15,,50/2005/QH11|Điều 73;07/2022/QH15|Điều 50;50/2005/QH11|Điều 72,,
61,6,6,10/2012/QH13;84/2015/QH13;4756/VBHN-BLĐTBXH,,10/2012/QH13;84/2015/QH13;4756/VBHN-BLĐTBXH,10/2012/QH13|Điều 57;84/2015/QH13|Điều 65;4756/VBHN-BLĐTBXH|Điều 9,,
62,4,6,50/2005/QH11;44-L/CTN;11/VBHN-VPQH;33/2005/QH11,50/2005/QH11;11/VBHN-VPQH,44-L/CTN;33/2005/QH11,50/2005/QH11|Điều 125;50/2005/QH11|Điều 123;44-L/CTN|Điều 816;11/VBHN-VPQH|Điều 125;11/VBHN-VPQH|Điều 123;33/2005/QH11|Điều 751,,
63,4,4,38/CP,,38/CP,38/CP|Điều 8,,
64,1,1,,,,,,
65,1,1,24-CP,24-CP,,,,
66,2,2,10/2012/QH13,,10/2012/QH13,10/2012/QH13|Điều 128,,
67,10,9,35-L/CTN;47/2010/NĐ-CP;12/2022/NĐ-CP;113/2004/NĐ-CP;145/2020/NĐ-CP;85/2015/NĐ-CP;31-CP;195-CP;125/VBHN-VPQH,12/2022/NĐ-CP,35-L/CTN;47/2010/NĐ-CP;113/2004/NĐ-CP;145/2020/NĐ-CP;85/2015/NĐ-CP;31-CP;195-CP;125/VBHN-VPQH,35-L/CTN|Điều 115;47/2010/NĐ-CP|Điều 13;12/2022/NĐ-CP|Điều 28;113/2004/NĐ-CP|Điều 15;145/2020/NĐ-CP|Điều 80;85/2015/NĐ-CP|Điều 7;195-CP|Điều 3;125/VBHN-VPQH|Điều 137,,
68,6,5,44/2016/NĐ-CP;84/2015/QH13;22/TT-LĐTBXH;2279/VBHN-BLĐTBXH;35-L/CTN,,44/2016/NĐ-CP;84/2015/QH13;22/TT-LĐTBXH;2279/VBHN-BLĐTBXH;35-L/CTN,44/2016/NĐ-CP|Điều 16;84/2015/QH13|Điều 30;2279/VBHN-BLĐTBXH|Điều 16;35-L/CTN|Điều 96,,
69,2,2,,,,,,
70,1,0,,,,,,
71,2,4,,,,28/2020/NĐ-CP|Điều 20,,
72,1,1,,,,,,
73,3,3,,,,,,
74,2,2,45/2019/QH14;74/2006/QH11,45/2019/QH14;74/2006/QH11,,45/2019/QH14|Điều 217;74/2006/QH11|Điều 179,,
75,3,4,28/2020/NĐ-CP;4756/VBHN-BLĐTBXH,28/2020/NĐ-CP;4756/VBHN-BLĐTBXH,,28/2020/NĐ-CP|Điều 4;12/2022/NĐ-CP|Điều 4;4756/VBHN-BLĐTBXH|Điều 24,,
76,5,6,12/2022/NĐ-CP;4756/VBHN-BLĐTBXH;82/2020/NĐ-CP,,12/2022/NĐ-CP;4756/VBHN-BLĐTBXH;82/2020/NĐ-CP,28/2020/NĐ-CP|Điều 4;12/2022/NĐ-CP|Điều 4;4756/VBHN-BLĐTBXH|Điều 5;82/2020/NĐ-CP|Điều 34,,
77,1,1,35-L/CTN,35-L/CTN,,,,
78,2,2,70/2025/NĐ-CP,,70/2025/NĐ-CP,70/2025/NĐ-CP|Điều 1,,
79,2,3,135/2007/NĐ-CP,135/2007/NĐ-CP,,135/2007/NĐ-CP|Điều 21;86/2010/NĐ-CP|Điều 27,,
80,2,2,,,,,,
81,3,3,25/VBHN-BTC,,25/VBHN-BTC,70/2025/NĐ-CP|Điều 1;25/VBHN-BTC|Điều 11;78/2021/TT-BTC|Điều 8,,
82,4,5,70/2025/NĐ-CP;32/2011/TT-BTC;68/2019/TT-BTC,,70/2025/NĐ-CP;32/2011/TT-BTC;68/2019/TT-BTC,70/2025/NĐ-CP|Điều 1;32/2011/TT-BTC|Điều 6;25/VBHN-BTC|Điều 33;68/2019/TT-BTC|Điều 3,,
83,4,4,12/2012/QH13;50/2024/QH15;90/VBHN-VPQH,,12/2012/QH13;50/2024/QH15;90/VBHN-VPQH,12/2012/QH13|Điều 16;50/2024/QH15|Điều 19;90/VBHN-VPQH|Điều 19,,
84,6,9,66/2019/TT-BTC;25/VBHN-BTC;33/VBHN-BTC;02/VBHN-BTC;110/2015/TT-BTC,,66/2019/TT-BTC;25/VBHN-BTC;33/VBHN-BTC;02/VBHN-BTC;110/2015/TT-BTC,70/2025/NĐ-CP|Điều 1;66/2019/TT-BTC|Điều 2;25/VBHN-BTC|Điều 15;33/VBHN-BTC|Điều 15;02/VBHN-BTC|Điều 15;33/VBHN-BTC|Điều 38;25/VBHN-BTC|Điều 49;110/2015/TT-BTC|Điều 19,,
85,3,3,70/2025/NĐ-CP,,70/2025/NĐ-CP,122/2025/NĐ-CP|Điều 6;70/2025/NĐ-CP|Điều 3,,118/2015/NĐ-CP
86,6,10,108/2025/QH15;68/2019/TT-BTC;25/VBHN-BTC;17/VBHN-BTC;29/VBHN-VPQH,108/2025/QH15;68/2019/TT-BTC;25/VBHN-BTC;17/VBHN-BTC;29/VBHN-VPQH,,108/2025/QH15|Điều 26;68/2019/TT-BTC|Điều 6;25/VBHN-BTC|Điều 17;25/VBHN-BTC|Điều 14;17/VBHN-BTC|Điều 7;78/2021/TT-BTC|Điều 8;68/2019/TT-BTC|Điều 9;29/VBHN-VPQH|Điều 91;29/VBHN-VPQH|Điều 89,,123/2020/NĐ-CP
87,8,10,95/2013/NĐ-CP;05/2019/NQ-HĐTP;45-CP;113/2004/NĐ-CP;4756/VBHN-BLĐTBXH,95/2013/NĐ-CP;05/2019/NQ-HĐTP;113/2004/NĐ-CP;4756/VBHN-BLĐTBXH,45-CP,95/2013/NĐ-CP|Điều 27;05/2019/NQ-HĐTP|Điều 214;86/2010/NĐ-CP|Điều 41;45-CP|Điều 43;113/2004/NĐ-CP|Điều 18;135/2007/NĐ-CP|Điều 29;4756/VBHN-BLĐTBXH|Điều 27,,
88,4,6,70/2025/NĐ-CP;25/VBHN-BTC;32/2011/TT-BTC,32/2011/TT-BTC,70/2025/NĐ-CP;25/VBHN-BTC,70/2025/NĐ-CP|Điều 1;68/2019/TT-BTC|Điều 11;25/VBHN-BTC|Điều 19;32/2011/TT-BTC|Điều 9;25/VBHN-BTC|Điều 26,,119/2018/NĐ-CP
89,5,8,32/2025/TT-BTC;78/2021/TT-BTC;25/VBHN-BTC;29/VBHN-VPQH,,32/2025/TT-BTC;78/2021/TT-BTC;25/VBHN-BTC;29/VBHN-VPQH,32/2025/TT-BTC|Điều 8;78/2021/TT-BTC|Điều 5;68/2019/TT-BTC|Điều 12;78/2021/TT-BTC|Điều 6;25/VBHN-BTC|Điều 18;29/VBHN-VPQH|Điều 89;25/VBHN-BTC|Điều 15,,04/2014/NĐ-CP;119/2018/NĐ-CP;51/2010/NĐ-CP
90,5,6,25/VBHN-BTC;29/VBHN-VPQH;126/2020/NĐ-CP,,25/VBHN-BTC;29/VBHN-VPQH;126/2020/NĐ-CP,25/VBHN-BTC|Điều 13;29/VBHN-VPQH|Điều 91;126/2020/NĐ-CP|Điều 34,,119/2018/NĐ-CP
91,4,6,108/2025/QH15;29/VBHN-VPQH;19/VBHN-BTC,,108/2025/QH15;29/VBHN-VPQH;19/VBHN-BTC,108/2025/QH15|Điều 26;29/VBHN-VPQH|Điều 90;19/VBHN-BTC|Điều 48;29/VBHN-VPQH|Điều 92,,
92,5,7,68/2019/TT-BTC;32/2025/TT-BTC;70/2025/NĐ-CP;110/2015/TT-BTC,68/2019/TT-BTC,32/2025/TT-BTC;70/2025/NĐ-CP;110/2015/TT-BTC,68/2019/TT-BTC|Điều 12;32/2025/TT-BTC|Điều 8;70/2025/NĐ-CP|Điều 1;110/2015/TT-BTC|Điều 9;68/2019/TT-BTC|Điều 9;25/VBHN-BTC|Điều 13,,
93,5,8,04/2014/NĐ-CP;25/VBHN-BTC;17/VBHN-BTC,04/2014/NĐ-CP;17/VBHN-BTC,25/VBHN-BTC,51/2010/NĐ-CP|Điều 10;04/2014/NĐ-CP|Điều 1;25/VBHN-BTC|Điều 23;17/VBHN-BTC|Điều 11;25/VBHN-BTC|Điều 24;64/2013/TT-BTC|Điều 12;17/VBHN-BTC|Điều 12,,
94,1,1,,,,,,
95,5,7,64/2013/TT-BTC;303/2016/TT-BTC;11/VBHN-BTC;17/VBHN-BTC,11/VBHN-BTC;17/VBHN-BTC,64/2013/TT-BTC;303/2016/TT-BTC,64/2013/TT-BTC|Điều 25;303/2016/TT-BTC|Điều 6;11/VBHN-BTC|Điều 27;17/VBHN-BTC|Điều 27;25/VBHN-BTC|Điều 38;64/2013/TT-BTC|Điều 8,,30/4;30/7
96,4,5,25/VBHN-BTC;70/2025/NĐ-CP;78/2021/TT-BTC;108/2025/QH15,70/2025/NĐ-CP;78/2021/TT-BTC,25/VBHN-BTC;108/2025/QH15,25/VBHN-BTC|Điều 25;25/VBHN-BTC|Điều 20;70/2025/NĐ-CP|Điều 1;78/2021/TT-BTC|Điều 6;108/2025/QH15|Điều 26,,123/2020/NĐ-CP
97,3,3,,,,25/VBHN-BTC|Điều 24,,04/2014/NĐ-CP;51/2010/NĐ-CP
98,5,7,108/2025/QH15;25/VBHN-BTC;125/2020/NĐ-CP,,108/2025/QH15;25/VBHN-BTC;125/2020/NĐ-CP,108/2025/QH15|Điều 26;70/2025/NĐ-CP|Điều 1;68/2019/TT-BTC|Điều 9;25/VBHN-BTC|Điều 16;68/2019/TT-BTC|Điều 6;25/VBHN-BTC|Điều 13;125/2020/NĐ-CP|Điều 4,,
99,5,6,113/2025/TT-BTC;78/2021/TT-BTC;303/2016/TT-BTC;70/2025/NĐ-CP,,113/2025/TT-BTC;78/2021/TT-BTC;303/2016/TT-BTC;70/2025/NĐ-CP,113/2025/TT-BTC|Điều 5;113/2025/TT-BTC|Điều 6;78/2021/TT-BTC|Điều 9;303/2016/TT-BTC|Điều 6;70/2025/NĐ-CP|Điều 1,,01/ĐK-BL
100,3,3,39/2014/TT-BTC,,39/2014/TT-BTC,39/2014/TT-BTC|Điều 11,,
101,2,3,303/2016/TT-BTC,303/2016/TT-BTC,,303/2016/TT-BTC|Điều 6;25/VBHN-BTC|Điều 4,,
102,5,6,70/2025/NĐ-CP;178/2011/TT-BTC;25/VBHN-BTC;11/VBHN-BTC,,70/2025/NĐ-CP;178/2011/TT-BTC;25/VBHN-BTC;11/VBHN-BTC,70/2025/NĐ-CP|Điều 1;178/2011/TT-BTC|Điều 6;25/VBHN-BTC|Điều 36;11/VBHN-BTC|Điều 9;11/VBHN-BTC|Điều 8,,
103,2,2,18/VBHN-BTC,,18/VBHN-BTC,18/VBHN-BTC|Điều 16,,
104,1,2,,,,,,
105,6,8,18/2023/TT-BTC;25/VBHN-BTC;17/VBHN-BTC;14/VBHN-BTC,,18/2023/TT-BTC;25/VBHN-BTC;17/VBHN-BTC;14/VBHN-BTC,18/2023/TT-BTC|Điều 10;25/VBHN-BTC|Điều 40;17/VBHN-BTC|Điều 24;113/2025/TT-BTC|Điều 7;25/VBHN-BTC|Điều 36;14/VBHN-BTC|Điều 7,,
106,7,8,108/2025/QH15;25/VBHN-BTC;68/2019/TT-BTC;29/VBHN-VPQH;78/2021/TT-BTC;51/2025/TT-BTC,,108/2025/QH15;25/VBHN-BTC;68/2019/TT-BTC;29/VBHN-VPQH;78/2021/TT-BTC;51/2025/TT-BTC,70/2025/NĐ-CP|Điều 1;108/2025/QH15|Điều 26;25/VBHN-BTC|Điều 48;68/2019/TT-BTC|Điều 20;25/VBHN-BTC|Điều 47;29/VBHN-VPQH|Điều 89;78/2021/TT-BTC|Điều 10;51/2025/TT-BTC|Điều 13,,
